wt[]	age[]	sex[]
8.4	23	1
10.9	22	1
7.2	6	1
10.3	24	0
10.5	14	0
9.6	18	1
11.4	30	1
11.4	24	0
9.4	17	0
12.5	27	1
9.1	16	1
12	30	0
7.8	18	0
8.5	15	1
8	13	1
9.1	11	0
10.5	8	1
7.2	9	1
6.9	8	0
9.6	16	0
10.5	25	1
9.7	18	0
8.4	29	0
9.4	10	1
7	8	0
6.9	9	0
8.7	6	0
12.3	25	0
9.3	16	1
15.7	29	0
9.6	17	1
9.5	19	1
9	10	0
8.4	6	1
8.9	27	1
11.3	28	0
8.2	13	1
10.1	23	1
8.7	35	0
12.6	27	1
9.8	16	1
8.2	11	1
7.1	8	1
7.4	7	1
8.9	15	0
4.8	7	0
11.9	22	0
9.8	15	1
12.3	30	0
8.4	12	1
13.1	36	1
10.3	20	1
8.5	16	1
7.2	12	1
8.7	12	1
11.7	33	1
8.9	9	1
6.3	8	1
10.7	21	1
9.8	16	1
10.6	14	1
9.2	20	1
10.5	12	1
9.2	11	1
12.6	23	0
8.5	7	1
7.5	9	1
9	8	1
7.9	7	0
8.6	9	0
5.7	9	1
9.2	19	0
12.6	24	1
9.1	8	0
11.5	32	1
9.1	17	1
8.5	10	1
11.1	26	1
10.6	25	0
9.1	16	0
12.7	25	0
7.6	8	1
12.7	25	0
13.5	30	1
7.9	7	1
10.5	16	1
13.3	28	0
12.1	30	0
8.9	6	0
6.9	7	1
10.1	19	0
11.2	34	0
11.9	12	1
9.7	12	0
12.4	29	1
7.1	5	0
10.8	35	1
9.7	23	1
12.1	27	1
11.7	26	1
8.2	18	1
8.9	24	1
11.6	24	1
8.6	17	1
8.2	8	1
9.5	11	0
8.2	6	0
10.4	16	1
11	29	1
9.5	17	1
8.2	13	0
8.2	12	1
9.8	8	0
7.7	8	0
11.9	28	0
10.9	24	0
12.6	35	0
9.2	7	1
8.3	15	1
7.2	11	1
12.1	9	0
9.1	12	1
11	23	0
9.6	20	1
11.2	9	0
11.5	20	1
7.7	7	1
7.9	5	0
9.4	13	1
6.9	11	1
9.5	11	1
7.1	10	1
12.4	19	0
9.6	12	0
9.6	18	1
7.4	7	1
9.7	17	1
10.6	21	1
9.8	11	0
7.5	7	0
10	12	1
11.9	22	0
15.5	35	0
11.6	36	0
12.1	27	0
11.6	32	1
14	24	0
10	18	0
8.9	9	1
10.5	31	1
10.2	28	1
6.1	5	1
8.7	9	0
7.9	18	1
6.6	9	0
11.4	23	0
9.1	18	1
8.2	8	0
7.8	8	1
10.5	19	0
7.4	10	1
10.7	33	1
8.9	9	0
8.7	12	0
9.9	12	0
9.6	24	0
9.2	19	0
9.4	15	1
11.2	27	1
8.9	10	0
11.5	22	0
10.5	22	0
7.9	15	0
7.9	15	0
11.6	15	1
8	7	1
7.9	16	0
10.1	11	1
10.1	10	0
6.2	8	1
11.2	15	0
9.5	23	1
8.3	21	1
6.6	8	1
12.6	30	1
10.2	13	0
7.4	8	1
8.1	7	0
9.4	10	0
12.1	30	0
END
